ID;AREA;TM;TBP;HLM;EE;DI;TE;DA;AE;AR;RUE
71;N1;59,62;67,71;68,57;62,86;35,14;72,53;85,17;56,30;60,81;81,83
72;N1;87,52;93,43;95,14;72,19;63,13;58,19;39,61;44,51;50,14;38,19
73;N1;63,98;69,34;71,36;63,06;26,22;77,10;91,15;61,09;64,26;88,02
74;N1;57,07;67,37;65,37;62,23;54,14;77,96;64,98;62,73;66,92;62,43
75;N1;76,17;86,38;83,25;72,64;66,25;48,58;59,25;37,20;41,90;56,89
76;N1;78,59;83,62;85,66;85,32;76,84;64,22;99,70;53,02;53,11;95,78
77;N1;62,83;68,33;69,19;62,07;17,37;69,88;99,70;53,83;59,61;96,68
78;N1;67,67;77,54;75,74;66,09;55,43;66,21;61,42;54,59;55,10;58,58
79;N1;67,39;71,29;69,47;69,46;55,12;58,68;88,05;44,19;49,93;85,32
80;N1;80,98;83,15;84,26;71,84;75,43;55,93;47,46;44,60;48,02;45,58
81;N1;79,67;86,47;83,52;83,48;81,87;79,77;86,57;60,21;68,96;83,43
82;N1;57,67;63,56;65,22;67,48;57,64;77,90;88,94;62,28;65,94;85,84
83;N1;85,47;93,59;92,43;83,73;53,28;74,09;99,84;58,07;64,25;96,63
84;N1;60,34;68,50;65,18;65,72;35,95;74,57;97,53;59,33;62,28;93,84
85;N1;62,08;69,64;67,62;59,81;39,92;67,61;67,80;53,78;57,28;65,00
86;N1;78,09;79,64;79,60;69,59;42,81;67,42;81,39;52,53;56,18;78,17
87;N1;51,97;60,35;60,70;51,34;56,86;63,28;30,65;48,65;53,36;28,80
88;N1;85,97;90,96;92,71;88,90;75,69;56,10;99,70;45,15;48,60;96,38
89;N1;65,92;72,84;69,42;53,13;55,84;68,14;15,97;51,93;56,84;14,93
90;N1;61,54;62,75;62,35;42,42;18,72;88,14;27,78;70,90;74,93;26,51
91;N1;62,98;72,38;71,13;59,90;24,11;72,11;77,23;55,72;62,49;74,44
92;N1;63,94;73,60;69,48;61,80;66,21;68,97;41,50;54,33;58,00;40,19
93;N1;62,27;70,93;70,04;65,24;33,52;54,91;90,83;41,88;45,83;88,04
94;N1;86,89;93,53;95,02;93,57;90,66;69,86;99,70;54,24;58,19;95,77
95;N1;42,07;43,02;46,90;47,62;18,55;70,83;88,43;54,15;61,35;85,33
96;N1;53,09;60,63;60,91;46,10;31,83;69,33;36,23;54,11;58,76;35,02
97;N1;63,40;68,88;70,84;54,51;50,22;63,79;30,62;51,60;53,15;29,03
98;N1;56,42;61,74;60,56;61,92;47,17;62,01;84,06;46,84;52,34;81,52
99;N1;68,32;72,53;72,91;70,26;42,30;68,17;99,70;55,30;58,82;96,27
100;N1;67,98;69,00;70,59;57,84;27,09;59,01;71,26;44,86;49,56;68,19
101;N1;52,72;59,24;56,02;48,97;11,02;56,27;74,41;44,22;47,59;11,46
102;N1;81,14;84,32;83,38;82,12;68,38;69,34;99,70;55,03;57,34;96,05
103;N1;43,09;47,96;47,94;36,06;27,40;69,26;25,78;54,31;57,87;24,15
104;N1;72,12;73,13;76,54;74,18;51,54;75,39;99,35;59,48;63,90;96,20
105;N1;75,62;83,71;80,52;66,69;38,37;71,95;70,57;57,72;61,59;67,68
106;N1;87,30;91,10;89,89;82,36;58,69;64,96;95,96;49,81;54,85;92,76
107;N1;67,39;70,73;69,33;49,60;52,53;75,39;10,63;56,66;63,80;9,67
108;N1;53,94;57,89;58,56;54,48;7,78;60,87;99,70;45,93;50,22;96,57
109;N1;61,09;64,82;63,27;59,10;55,50;53,22;55,79;44,00;43,60;53,25
110;N1;88,30;91,43;93,06;78,94;57,51;63,52;77,59;48,25;54,74;75,26
111;N1;69,51;75,94;76,99;60,19;32,51;62,94;58,30;48,50;53,17;56,25
112;N1;71,90;76,07;74,86;57,25;65,68;60,29;15,97;47,77;52,13;15,48
113;N1;52,02;53,76;54,07;40,83;23,15;74,93;37,91;58,27;62,82;36,33
114;N1;74,06;83,99;79,24;77,61;52,10;59,68;99,70;45,61;50,94;96,70
115;N1;49,31;59,63;58,10;46,44;32,84;65,04;39,95;53,46;53,98;37,82
116;N1;52,75;62,09;61,56;60,10;20,83;59,13;99,70;46,46;48,69;96,20
117;N1;66,64;69,50;69,69;51,41;52,89;71,37;14,67;54,04;59,15;13,82
118;N1;67,95;74,79;75,33;70,79;61,40;60,85;76,48;49,31;50,28;73,70
119;N1;49,42;54,59;54,18;59,53;36,78;68,71;99,70;51,95;57,02;95,83
120;N1;66,60;69,57;68,77;56,09;33,87;62,31;54,44;47,96;54,20;52,33
121;N1;70,61;75,48;77,07;52,78;30,27;67,25;32,50;52,05;56,55;31,03
122;N1;52,11;56,04;54,74;37,42;17,53;41,34;24,30;34,72;33,75;23,17
123;N1;56,33;56,97;57,71;54,74;44,30;70,70;66,09;55,37;60,00;63,41
124;N1;66,50;68,50;68,91;64,59;25,91;55,52;99,70;42,24;47,86;96,08
125;N1;60,43;61,17;62,04;55,53;54,36;76,13;47,61;59,80;65,81;46,05
126;N1;70,24;80,07;78,24;71,83;70,22;65,04;61,89;50,06;55,02;59,94
