"ID";"Edad";"Sexo";"NivelEducacion";"EstadoCivil";"NivelSocEco";"HorasLogeadas";"HorasHabladas";"ContactosEfectivosPromedio";"RegistrosTerminados";"ProdMayorUbral";"ProdPromAprobada"
80;32;"f";"ts";"c";"e";106.03;57.1;124;428;"si";160750
81;29;"m";"ts";"s";"c3c4";19.12;7.64;0;118;"no";3000
82;26;"m";"un";"s";"c3c4";39.31;27.9;125;373;"no";58500
83;25;"m";"em";"s";"c3c4";145.88;67.7;145;754;"no";80000
84;25;"f";"ts";"s";"c3c4";53.63;10.01;102;128;"no";4000
85;24;"m";"em";"s";"c3c4";114.27;33.07;150;733;"no";39980
86;22;"m";"em";"s";"c2";58;13.87;55;421;"no";25500
87;22;"f";"em";"s";"c3c4";57.065;20.025;96.5;261;"no";39000
88;24;"f";"em";"s";"e";100.07;38.51;227;527;"no";48250
89;34;"m";"un";"c";"c3c4";62.37;17.33;265;328;"no";24000
90;30;"m";"em";"s";"c3c4";49.68;17.94;69;139;"no";12500
91;25;"f";"em";"s";"fue";56.0155;12.8375;118.5;139.5;"no";43299
92;25;"f";"ts";"s";"e";105.08;48.76;100;440;"no";28000
93;23;"m";"em";"s";"e";52.04;11.38;80;432;"no";8000
94;23;"m";"em";"s";"c3c4";83.28;28.06;221;263;"no";20000
95;21;"f";"em";"s";"e";79.494;32.486;381;554;"no";44623
96;39;"f";"em";"c";"c3c4";26.45;12.68;51;162;"no";10500
97;34;"m";"un";"s";"c3c4";74.645;40.74;103;214.5;"no";17625
98;26;"m";"ts";"s";"c3c4";79.27;18.45;0;393;"no";39633
99;30;"m";"ts";"s";"c3c4";46.41;18.29;0;244;"no";23207
100;30;"f";"em";"c";"c3c4";52.06;11.48;60.5;88;"no";50750
101;29;"f";"em";"s";"c3c4";66.275;10.08;61.5;142.5;"no";32000
102;28;"f";"em";"s";"c3c4";80.41;36.64;194;750;"no";25000
103;28;"f";"un";"s";"c3c4";64.1;12.475;74;139.5;"no";37250
104;26;"m";"ts";"s";"c3c4";31.45;17.59;39;143;"no";17500
105;23;"f";"em";"s";"c3c4";129.94;44.93;225;361;"no";89500
106;37;"m";"un";"s";"c2";81.08;42.015;198.5;436;"no";47250
107;32;"f";"ts";"s";"c3c4";102.8;41.49;236;583;"no";15000
108;25;"m";"em";"s";"c3c4";70.3245;17.3355;198.5;266.5;"no";20691
109;24;"f";"em";"s";"c3c4";83.6;33.89;174;454;"no";45500
110;63;"m";"un";"s";"c3c4";47.29;22.26;110;208;"no";24000
111;32;"m";"ts";"s";"c2";74.44;23.575;231.5;293.5;"no";18120.5
112;28;"f";"ts";"s";"c3c4";76.595;43.635;164;326;"no";56250
113;26;"m";"em";"s";"c3c4";83.795;45.855;164.5;393;"no";131875
114;24;"m";"em";"s";"c3c4";104.061;31.489;50;57;"no";28020
115;23;"m";"ts";"s";"c3c4";11.90333333;1.236666667;185;205.3333333;"no";59941.33
116;56;"f";"em";"c";"c3c4";96.935;15.18;313;376;"no";5000
117;55;"m";"ts";"c";"c3c4";120.96;52.69;234;308;"no";58500
118;42;"f";"un";"s";"c3c4";92.655;25.02;365;452;"no";16250
119;36;"m";"em";"s";"c3c4";31.02666667;8.3;69.66666667;78;"no";64107.67
120;31;"m";"un";"s";"c3c4";20.151;9.203;87;107;"no";8703
121;32;"m";"ts";"s";"c2";106.94;29.26;223.5;345;"no";90500
122;30;"f";"em";"s";"e";74.924;23.182;279.5;290;"no";37165
123;31;"f";"un";"s";"c3c4";197.71;75.99;405;1484;"no";76000
124;27;"m";"em";"s";"e";82.96;16.05;204.5;338;"no";7500
125;27;"f";"em";"s";"c2";81.8165;27.259;151.5;163.5;"no";63984.5
126;27;"m";"em";"s";"c3c4";159.7;43.76;245;648;"no";106000
127;27;"m";"ts";"s";"e";9.56;5.26;19;43;"no";8000
128;22;"m";"em";"s";"c3c4";9.95;1.54;11;18;"no";0
129;30;"f";"em";"s";"e";86.945;42.345;20;328.5;"no";110500
130;26;"f";"em";"s";"c3c4";26.50666667;7.376666667;44.66666667;69.33333333;"no";7833.33
131;50;"m";"em";"c";"c3c4";87.035;34.525;123;311.5;"no";59500
132;42;"f";"ts";"s";"c3c4";142.57;53.24;181;1633;"no";34000
133;33;"m";"ts";"s";"c3c4";104.35;43.28;173;774.5;"no";52000
134;30;"m";"em";"s";"e";86.435;30.315;110.5;302;"no";36875
135;30;"m";"ts";"s";"c2";127;23.01;314;318;"no";7500
136;30;"m";"em";"s";"c3c4";86.105;27.83;113.5;491;"no";49000
137;28;"m";"un";"s";"e";96.555;35.18;312.5;492;"no";113000
138;27;"m";"em";"s";"c3c4";103.925;51.115;164;658.5;"no";51000
139;26;"f";"em";"s";"e";94.71;27.07;192;552;"no";50000
140;24;"f";"em";"s";"c3c4";2.85;0.25;6.5;8;"no";0
141;22;"f";"ts";"s";"e";0.17;0.1;2;2;"no";0
142;21;"f";"em";"s";"c3c4";80.87;16.49;133;345;"no";53000
143;19;"m";"un";"s";"c3c4";41.44;10.83;19.5;33.5;"no";22217.5
144;19;"m";"em";"s";"c3c4";39.21;11.42;71;77;"no";2000
145;60;"m";"un";"c";"c3c4";29.39;5.05;48;152;"no";9000
146;39;"f";"ts";"c";"e";66.555;27.28;154.5;265.5;"no";24000
147;32;"f";"em";"s";"e";38.15;9.05;76;187;"no";15000
148;24;"f";"em";"s";"c3c4";74.24;36.415;175.5;385.5;"no";88875
149;25;"f";"em";"s";"c3c4";9.99;2.05;0;0;"no";2500
150;23;"f";"em";"s";"abc1";100.762;25.358;32;43;"no";13675
151;22;"f";"ts";"s";"c2";78.9785;22.549;17.5;47;"no";102600.5
152;20;"f";"em";"s";"abc1";80.2075;19.9275;105;139;"no";9726
153;55;"f";"em";"s";"c3c4";30.62;10.17;39;247;"no";10500
154;47;"f";"em";"s";"e";119.52;50.935;255;627;"no";107187.5
155;34;"m";"ts";"s";"c3c4";40.26;7.545;46;65.5;"no";5000
156;37;"f";"em";"c";"c3c4";85.1295;17.444;30.5;53;"no";18765
157;32;"f";"em";"c";"e";72.75;26.1;106;403;"no";42500
158;29;"f";"ts";"s";"e";103.3566667;37.05;174.3333333;309.6666667;"si";247504.67
159;27;"f";"em";"s";"c3c4";38;10.4;0;0;"no";10000
160;24;"m";"ts";"s";"c3c4";177.67;37.78;1216;1241;"no";153216
161;23;"m";"ts";"s";"e";174.32;39.31;863;869;"no";57562
162;20;"f";"em";"s";"c3c4";53.64;13.44;100;288;"no";19000
163;48;"f";"em";"c";"c3c4";88.135;38.035;179.5;811.5;"no";71000
164;35;"m";"em";"s";"c3c4";117.01;42.9;231;384;"no";85500
165;29;"f";"em";"s";"e";164.97;27.98;304;605;"no";128500
166;26;"f";"ts";"s";"c3c4";64.27;12.24;74;384;"no";16000
167;25;"f";"em";"s";"c3c4";67.792;13.3065;141.5;358.5;"no";4281
168;20;"m";"em";"s";"c2";111.392;27.7065;197.5;218;"no";30106
169;65;"f";"un";"c";"c2";92.57;22.11;129;346.5;"no";6250
170;63;"f";"un";"s";"c3c4";89.845;33.35;103;301.5;"no";8375
171;24;"m";"em";"s";"e";118.245;79.735;267;917.5;"no";75000
172;46;"f";"em";"s";"c3c4";86.265;24.41;125.5;501.5;"no";69500
173;28;"f";"em";"s";"c3c4";171.15;88.3;391;843;"si";223000
174;24;"m";"em";"s";"e";39.62;8.97;96;289;"no";2495
175;21;"f";"em";"s";"c3c4";69.48;24.765;302.5;431;"no";4939.5
176;31;"f";"em";"c";"e";73.705;24.29;64;303;"no";36250
177;37;"f";"ts";"s";"c3c4";79.43;25.57;0;194;"no";30756
178;25;"f";"un";"s";"c2";18.78;3.13;0;0;"no";0
179;24;"m";"un";"s";"c2";99.82;42.785;203;384;"no";78500
180;20;"f";"em";"s";"e";85.666;20.567;56;217;"no";24999.5
181;51;"f";"ts";"c";"e";123.91;39.965;3.5;254.5;"no";24000
182;25;"m";"em";"s";"c3c4";138.79;36.51;265;716;"no";92000
183;48;"f";"em";"s";"abc1";124.82;59.23;8.5;539;"no";15000
184;23;"f";"em";"s";"c3c4";58.355;32.175;112.5;312;"no";62375
185;34;"f";"ts";"s";"c3c4";37.03;7.86;0;0;"no";15000
186;26;"m";"ts";"s";"c2";104.865;37.18;251;530;"no";12750
187;25;"m";"em";"s";"e";98.85;31.85;156;477;"no";27750
188;25;"f";"em";"s";"c3c4";52.25;7.44;130;464;"no";0
189;23;"m";"em";"s";"c3c4";79.652;28.259;0;0;"no";59175
190;21;"m";"ts";"s";"c3c4";30.98;11.48;83;264;"no";31000
191;29;"f";"em";"s";"e";23.81;11.36333333;17.66666667;101.3333333;"no";46000
192;30;"f";"em";"s";"e";44.898;16.496;263;371;"no";18948
193;25;"m";"em";"s";"c3c4";54.40333333;8.74;171;188;"no";55082
194;22;"f";"em";"s";"c3c4";43.56;14.34;0;0;"no";25720
195;28;"m";"em";"s";"c3c4";152.896;66.15;26;28;"no";108187
196;34;"m";"em";"s";"c3c4";46.75;8.36;72;408.5;"no";15500
197;34;"m";"em";"s";"c3c4";39.62333333;9.136666667;79.66666667;205.3333333;"no";2500
198;27;"m";"ts";"c";"c3c4";92.18;26.775;119;354.5;"no";94500
199;25;"m";"em";"s";"c3c4";95.97;28.41333333;170.6666667;194.3333333;"no";133732
200;27;"f";"em";"s";"e";128.944;34.4025;148.5;202.5;"no";49004
201;31;"m";"un";"s";"c2";54.725;10.665;1.5;47;"no";47750
202;29;"f";"em";"s";"c3c4";110.675;59.19;423.5;656;"no";44500
